emp_no,first_name,last_name,gender,salary,to_date,dept_no
10194,Josyula,Hofmeyr,F,64941,1998-02-14,d002
10001,Georgi,Facello,M,60117,1987-06-26,d005
10004,Chirstian,Koblick,M,40054,1987-12-01,d004
10005,Kyoichi,Maliniak,M,78228,1990-09-12,d003
10006,Anneke,Preusig,F,40000,1991-08-05,d005
10009,Sumant,Peac,F,60929,1986-02-18,d006
10018,Kazuhide,Peha,F,55881,1988-04-02,d004
10019,Lillian,Haddadi,M,44276,2000-04-29,d008
10020,Mayuko,Warwick,M,40000,1998-12-30,d004
10022,Shahaf,Famili,M,40000,2000-09-02,d005
10023,Bojan,Montemayor,F,47883,2000-09-26,d005
10026,Yongqiao,Berztiss,M,47585,1996-03-19,d004
10035,Alain,Chappelet,M,41538,1989-09-05,d004
10047,Zvonko,Nyanchama,M,54982,1990-03-31,d004
10051,Hidefumi,Caine,M,48817,1993-10-15,d004
10053,Sanjiv,Zschoche,F,67854,1995-11-13,d007
10057,Ebbe,Callaway,F,49616,1993-01-14,d005
10058,Berhard,McFarlin,M,52787,1989-04-25,d001
10059,Alejandro,McAlpine,F,71218,1992-06-25,d002
10063,Gino,Leonhardt,F,40000,1990-04-08,d004
10066,Kwee,Schusler,M,69736,1987-02-26,d005
10067,Claudi,Stavenow,M,44642,1988-03-03,d006
10070,Reuven,Garigliano,M,55999,1986-10-14,d008
10072,Hironoby,Sidou,F,40000,1990-05-21,d005
10074,Mokhtar,Bernatsky,F,61714,1991-08-13,d005
10076,Erez,Ritzmann,F,47319,1997-07-15,d005
10088,Jungsoon,Syrzycki,F,65957,1989-09-02,d009
10091,Amabile,Gomatam,M,40000,1993-11-18,d005
10096,Jayson,Mandell,M,61395,2000-01-23,d004
10097,Remzi,Waschkowski,M,44886,1991-09-15,d008
10100,Hironobu,Haraldson,F,54398,1988-09-20,d003
10103,Akemi,Birch,M,68158,1999-01-12,d005
10106,Eben,Aingworth,M,62928,1992-10-25,d004
10126,Kayoko,Valtorta,M,40000,1986-09-08,d009
10127,Subir,Baja,F,40000,1992-05-16,d005
10129,Armond,Peir,M,40000,1997-01-15,d005
10130,Nishit,Casperson,M,40000,1989-06-21,d004
10134,Diederik,Siprelle,M,40000,1988-12-11,d004
10138,Perry,Shimshoni,M,53574,1993-03-03,d006
10150,Zhenbing,Perng,F,70122,1987-11-16,d005
10153,Heekeun,Majewski,M,54246,2001-01-07,d005
10157,Nigel,Aloisi,M,48770,1998-12-10,d005
10159,Serif,Buescher,M,52881,1997-06-12,d006
10160,Debatosh,Khasidashvili,M,91622,1994-12-06,d007
10163,Karsten,Szmurlo,M,41603,1993-02-01,d003
10166,Samphel,Siegrist,F,51586,1997-09-02,d005
10183,Mechthild,Bonifati,M,40000,1997-08-11,d009
10372,Anneli,Frijda,F,54505,1986-07-30,d004
10377,Marl,Grospietsch,M,40000,1997-08-24,d004
10387,Parto,Wrigley,F,61374,1995-01-07,d009
10388,Hironoby,Kaiser,M,62545,2000-05-27,d007
10389,Make,Peir,M,55548,2000-05-12,d005
